bib_key,section,subsection,sentence,file
detr,Benchmark Setup,A configuration that is uniform but not neutral,"Transformer-based detectors, since DETR \citep{detr}, are commonly trained at learning rates one to two orders of magnitude below those used for convolutional detectors, and the value adopted here was drawn from studies that evaluated only YOLO variants.",05-benchmark-setup.tex
electrocom61,Introduction,(section opening),"ElectroCom61 is a public dataset for this task, containing 2,121 images of 61 component classes carrying 12,937 annotations, distributed with a fixed train/validation/test partition \citep{electrocom61}.",01-introduction.tex
electrocom61,Related Work,ElectroCom61 and the results reported on it,"ElectroCom61 contains 2,121 images of 61 electronic component classes carrying 12,937 annotations, photographed with several smartphones and distributed under CC BY 4.0 with a published partition of 1478/438/205 images \citep{electrocom61}.",02-related-work.tex
electrocom61,Related Work,ElectroCom61 and the results reported on it,"The dataset paper's own technical validation reports a headline figure of 95.9% \citep{electrocom61}; the two benchmark studies each compare several detectors and report mAP@50 \citep{yolov12paper,yolov13paper}.",02-related-work.tex
electrocom61,Related Work,Electronic component detection and e-waste sorting,"Sorting them by hand is slow and brings workers into contact with hazardous material, which is the standing motivation for automating the recognition step; the dataset was assembled for that purpose \citep{electrocom61}.",02-related-work.tex
electrocom61,Dataset Audit,One camera is never evaluated,This matters because the capture equipment was a design decision rather than an incidental one: three phones were used to ensure diverse imaging qualities \citep{electrocom61}.,03-dataset-audit.tex
electrocom61,Dataset Audit,One camera is never evaluated,"The metadata records four distinct device identifiers — ONEPLUS\_NORD on 391 images, REDMI on 1,180, X on 311 and iPhone on 189, with a further 50 images carrying no metadata row — while the dataset paper describes three cameras, tabulating them as Smartphone 1, 2 and 3 and giving the third the display and cover-glass specifications of an iPhone \citep{electrocom61}.",03-dataset-audit.tex
electrocom61,A Corrected Split,What is released,"The manifest is offered under CC BY 4.0, the licence of the dataset it derives from, and the attribution to the dataset authors travels with it \citep{electrocom61}.",04-corrected-split.tex
electrocom61,Benchmark Setup,Efficiency measurement,"Of the published studies reporting results on this dataset, the two that report parameter counts \citep{yolov12paper,yolov13paper} do not state whether those counts are fused or unfused, and the dataset paper \citep{electrocom61} reports none at all: its results table carries only mAP@50, precision, recall, F1 and total loss.",05-benchmark-setup.tex
electrocom61,Discussion,Why published results on this dataset disagree,"The archived notebook that produces the dataset paper's headline figure downloads Roboflow export version 5, while the archive published at the Mendeley DOI is version 9 \citep{electrocom61}; the two differ in image count and in the preprocessing applied before export, as Section \ref{sec:metadata-provenance} documents for the metadata that travels with them.",07-discussion.tex
electrocom61,Data and Code Availability,(section opening),"The dataset itself is not redistributed: the manifest names images in a tree the reader downloads from the dataset's own archive \citep{electrocom61}, which is also what keeps the two licences separable.",10-availability.tex
graber2025addendum,Related Work,"Dataset splits, leakage and evaluation validity","Established benchmarks have been corrected on these grounds, and the corrections moved the numbers: on a binding-affinity benchmark, two groups independently produced improved splits and previously reported performance fell against them \citep{graber2025resolving,graber2025addendum}.",02-related-work.tex
graber2025addendum,Discussion,What generalises beyond this dataset,"The familiar defect is leakage — a test image also seen in training is easy for the wrong reason — which inflates the scores measured against it \citep{kapoor2023leakage}, and corrections in that direction lower them, as when two groups independently corrected the split of a single binding-affinity benchmark and previously reported performance fell \citep{graber2025resolving,graber2025addendum}.",07-discussion.tex
graber2025resolving,Related Work,"Dataset splits, leakage and evaluation validity","Established benchmarks have been corrected on these grounds, and the corrections moved the numbers: on a binding-affinity benchmark, two groups independently produced improved splits and previously reported performance fell against them \citep{graber2025resolving,graber2025addendum}.",02-related-work.tex
graber2025resolving,Discussion,What generalises beyond this dataset,"The familiar defect is leakage — a test image also seen in training is easy for the wrong reason — which inflates the scores measured against it \citep{kapoor2023leakage}, and corrections in that direction lower them, as when two groups independently corrected the split of a single binding-affinity benchmark and previously reported performance fell \citep{graber2025resolving,graber2025addendum}.",07-discussion.tex
gundersen2023reporting,Related Work,Metrics and efficiency reporting,"Scanning many seeds on standard image benchmarks finds the spread between them modest, but seeds performing markedly better or worse than the average easy to come across \citep{picard2021seed}, and conclusions drawn from model comparisons with small effect sizes have been shown to be unreliable without repeated runs \citep{gundersen2023reporting}; where random effects during training have been studied directly, a statistically significant difference was found to be a weak indicator of a true one \citep{akesson2024random}.",02-related-work.tex
gundersen2023reporting,Limitations,(section opening),"Seed scans on standard image benchmarks report the spread between seeds as modest while individual seeds well above and well below the average remain easy to find \citep{picard2021seed}, and a model comparison resting on differences this small is precisely the case in which conclusions have been shown not to survive the randomness they were drawn through \citep{gundersen2023reporting}.",08-limitations.tex
joeres2025datasail,Related Work,"Dataset splits, leakage and evaluation validity","Leakage-reduced splitting has been formalised as a combinatorial optimisation over similarity between items and solved with clustering heuristics, so that group-aware partitions can be produced automatically rather than by hand \citep{joeres2025datasail}.",02-related-work.tex
joeres2025datasail,A Corrected Split,The grouping rule,"Whole groups of images move as a unit; individual images never move alone, which is the group-aware splitting that leakage-avoiding tools apply in other domains \citep{joeres2025datasail}.",04-corrected-split.tex
kapoor2023leakage,Related Work,"Dataset splits, leakage and evaluation validity","Defects in how data is partitioned are documented across many scientific fields and have been identified as a contributor to irreproducible machine-learning results \citep{kapoor2023leakage}, and the ways they arise have been organised into taxonomies covering both conventional and transfer-learning settings \citep{apicella2025leakage}.",02-related-work.tex
kapoor2023leakage,Discussion,What generalises beyond this dataset,"The familiar defect is leakage — a test image also seen in training is easy for the wrong reason — which inflates the scores measured against it \citep{kapoor2023leakage}, and corrections in that direction lower them, as when two groups independently corrected the split of a single binding-affinity benchmark and previously reported performance fell \citep{graber2025resolving,graber2025addendum}.",07-discussion.tex
kong2026edge,Related Work,Metrics and efficiency reporting,"Parameter counts and FLOPs both correlate poorly with measured on-device latency \citep{vasu2023mobileone,chen2023run}, and on low-compute edge hardware latency has been reported to track detection accuracy more closely than either \citep{kong2026edge}.",02-related-work.tex
kong2026edge,Discussion,Reporting speed changes the answer,"The complexity proxy most often reported in its place would have misled, and the failure is a documented one rather than a local accident: parameter counts and FLOPs are both reported to correlate poorly with measured on-device latency \citep{vasu2023mobileone,chen2023run}, and a benchmark of nine YOLO variants across three edge systems-on-chip reports latency tracking accuracy more closely than either \citep{kong2026edge}.",07-discussion.tex
kong2026edge,Limitations,(section opening),A benchmark of nine YOLO variants across three edge systems-on-chip reports memory bandwidth governing robustness in that setting \citep{kong2026edge}.,08-limitations.tex
lu2022sorting,Introduction,(section opening),"Automating the recognition step is the standing motivation for applying object detection to the problem, and systems have been built to sort components once they have been detached from a board \citep{lu2022sorting} and to identify them in place on the board itself \citep{sharma2024vision}.",01-introduction.tex
lu2022sorting,Related Work,Electronic component detection and e-waste sorting,"Components detached from waste boards have been sorted automatically on a conveyor \citep{lu2022sorting}, and identified in place on the board itself \citep{sharma2024vision}.",02-related-work.tex
nguyen2025iotkits,Related Work,ElectroCom61 and the results reported on it,"That set was established by citation search on Google Scholar in August 2026: of the works citing the dataset paper, two are those benchmark studies and two cite the dataset as related work without training on it \citep{nguyen2025iotkits,chen2025augmentation}.",02-related-work.tex
picard2021seed,Related Work,Metrics and efficiency reporting,"Scanning many seeds on standard image benchmarks finds the spread between them modest, but seeds performing markedly better or worse than the average easy to come across \citep{picard2021seed}, and conclusions drawn from model comparisons with small effect sizes have been shown to be unreliable without repeated runs \citep{gundersen2023reporting}; where random effects during training have been studied directly, a statistically significant difference was found to be a weak indicator of a true one \citep{akesson2024random}.",02-related-work.tex
picard2021seed,Limitations,(section opening),"Seed scans on standard image benchmarks report the spread between seeds as modest while individual seeds well above and well below the average remain easy to find \citep{picard2021seed}, and a model comparison resting on differences this small is precisely the case in which conclusions have been shown not to survive the randomness they were drawn through \citep{gundersen2023reporting}.",08-limitations.tex
puttero2024disassembly,Related Work,Electronic component detection and e-waste sorting,"Two problems sit either side of component recognition: batteries must be found before disassembly, which has been done on X-ray images of whole appliances \citep{sterkens2021xray}, and the components must then be located precisely enough to be removed, which has been treated as a detection problem on board images \citep{puttero2024disassembly}.",02-related-work.tex
rajeev2025ewaste,Related Work,Electronic component detection and e-waste sorting,Classification of e-waste more broadly has been approached with customisable YOLO variants \citep{rajeev2025ewaste} and with convolutional classifiers built for real-time operation \citep{sarswat2024realtime}.,02-related-work.tex
rosenblatt2024leakage,Related Work,"Dataset splits, leakage and evaluation validity","Where observations are not independent — repeated measurements of the same subject, samples from the same source — a split that ignores the grouping places related items on both sides of the boundary and inflates measured performance; this has been shown directly for connectome-based models \citep{rosenblatt2024leakage}, and checklists exist for detecting the condition before a model is trained \citep{bernett2024guiding}.",02-related-work.tex
rtdetr,Benchmark Setup,Models evaluated,"Five detectors were evaluated: YOLOv9s \citep{yolov9}, YOLO11s \citep{yolo11}, YOLOv12s \citep{yolov12}, YOLO26s \citep{yolo26} and RT-DETR-l \citep{rtdetr}.",05-benchmark-setup.tex
sarswat2024realtime,Related Work,Electronic component detection and e-waste sorting,Classification of e-waste more broadly has been approached with customisable YOLO variants \citep{rajeev2025ewaste} and with convolutional classifiers built for real-time operation \citep{sarswat2024realtime}.,02-related-work.tex
sharma2024vision,Introduction,(section opening),"Automating the recognition step is the standing motivation for applying object detection to the problem, and systems have been built to sort components once they have been detached from a board \citep{lu2022sorting} and to identify them in place on the board itself \citep{sharma2024vision}.",01-introduction.tex
sharma2024vision,Related Work,Electronic component detection and e-waste sorting,"Components detached from waste boards have been sorted automatically on a conveyor \citep{lu2022sorting}, and identified in place on the board itself \citep{sharma2024vision}.",02-related-work.tex
sterkens2021xray,Related Work,Electronic component detection and e-waste sorting,"Two problems sit either side of component recognition: batteries must be found before disassembly, which has been done on X-ray images of whole appliances \citep{sterkens2021xray}, and the components must then be located precisely enough to be removed, which has been treated as a detection problem on board images \citep{puttero2024disassembly}.",02-related-work.tex
ultralytics,Benchmark Setup,Training configuration,"Neither states an Ultralytics version, which is the more consequential omission: the Ultralytics release \citep{ultralytics} determines the layer composition, detection head, loss function and augmentation defaults of every model it provides, so two studies may both report results for ""YOLOv9s"" while training architectures that differ.",05-benchmark-setup.tex
ultralytics,Discussion,Why published results on this dataset disagree,"Neither study states an Ultralytics version \citep{ultralytics}, which is what fixes the layer composition, detection head, loss function and default augmentation of every model distributed under a given name, so two studies can report results for the same architecture while training different networks.",07-discussion.tex
vasu2023mobileone,Related Work,Metrics and efficiency reporting,"Parameter counts and FLOPs both correlate poorly with measured on-device latency \citep{vasu2023mobileone,chen2023run}, and on low-compute edge hardware latency has been reported to track detection accuracy more closely than either \citep{kong2026edge}.",02-related-work.tex
vasu2023mobileone,Discussion,Reporting speed changes the answer,"The complexity proxy most often reported in its place would have misled, and the failure is a documented one rather than a local accident: parameter counts and FLOPs are both reported to correlate poorly with measured on-device latency \citep{vasu2023mobileone,chen2023run}, and a benchmark of nine YOLO variants across three edge systems-on-chip reports latency tracking accuracy more closely than either \citep{kong2026edge}.",07-discussion.tex
yolo11,Benchmark Setup,Models evaluated,"Five detectors were evaluated: YOLOv9s \citep{yolov9}, YOLO11s \citep{yolo11}, YOLOv12s \citep{yolov12}, YOLO26s \citep{yolo26} and RT-DETR-l \citep{rtdetr}.",05-benchmark-setup.tex
yolo26,Benchmark Setup,Models evaluated,"Five detectors were evaluated: YOLOv9s \citep{yolov9}, YOLO11s \citep{yolo11}, YOLOv12s \citep{yolov12}, YOLO26s \citep{yolo26} and RT-DETR-l \citep{rtdetr}.",05-benchmark-setup.tex
yolov10,Related Work,Metrics and efficiency reporting,"Non-maximum suppression is a recognised postprocessing cost, and removing it is an explicit design goal in recent detectors — in the transformer line since DETR \citep{detr}, and within the YOLO family in architectures trained to produce a single prediction per object \citep{yolov10}.",02-related-work.tex
yolov10,Results,Efficiency,"The two architectures without non-maximum suppression carry the lowest postprocessing cost, which is the saving an NMS-free detection head is designed to produce \citep{yolov10}, and the size of that advantage should be stated carefully.",06-results.tex
yolov12,Benchmark Setup,Models evaluated,"Five detectors were evaluated: YOLOv9s \citep{yolov9}, YOLO11s \citep{yolo11}, YOLOv12s \citep{yolov12}, YOLO26s \citep{yolo26} and RT-DETR-l \citep{rtdetr}.",05-benchmark-setup.tex
yolov12paper,Introduction,(section opening),"Three published studies report detection results on it: the dataset paper's own technical validation and two subsequent benchmark studies \citep{yolov12paper,yolov13paper}.",01-introduction.tex
yolov12paper,Related Work,ElectroCom61 and the results reported on it,"The dataset paper's own technical validation reports a headline figure of 95.9% \citep{electrocom61}; the two benchmark studies each compare several detectors and report mAP@50 \citep{yolov12paper,yolov13paper}.",02-related-work.tex
yolov12paper,Related Work,Electronic component detection and e-waste sorting,"Both benchmark studies on this dataset are themselves e-waste detection systems, and both build on that family \citep{yolov12paper,yolov13paper}.",02-related-work.tex
yolov12paper,Benchmark Setup,Efficiency measurement,"Of the published studies reporting results on this dataset, the two that report parameter counts \citep{yolov12paper,yolov13paper} do not state whether those counts are fused or unfused, and the dataset paper \citep{electrocom61} reports none at all: its results table carries only mAP@50, precision, recall, F1 and total loss.",05-benchmark-setup.tex
yolov12paper,Benchmark Setup,Models evaluated,"The first three appear in the comparison tables of both prior studies of ElectroCom61 \citep{yolov12paper,yolov13paper}, and are included so that the present benchmark can be placed alongside theirs.",05-benchmark-setup.tex
yolov12paper,Benchmark Setup,Training configuration,"Both prior studies of this dataset state these values \citep{yolov12paper,yolov13paper}.",05-benchmark-setup.tex
yolov12paper,Results,A published ordering not reproduced,"One prior study of this dataset reports YOLOv12s as its most balanced performer, at 89.1% mAP@50 \citep{yolov12paper}.",06-results.tex
yolov12paper,Discussion,Why published results on this dataset disagree,"Neither benchmark study states which version it used \citep{yolov12paper,yolov13paper}.",07-discussion.tex
yolov12paper,Discussion,Why published results on this dataset disagree,"The earlier benchmark study does report it: every cell of its results table carries a mean and standard deviation with a 95% confidence interval, and its text reports paired $t$-tests at $p < 0.05$ \citep{yolov12paper}.",07-discussion.tex
yolov12paper,Discussion,Why published results on this dataset disagree,"The two papers report the same seven rows with identical values, the second adding one row for its own architecture, and they share three authors — three of the four listed on the earlier paper are among the six on the later one \citep{yolov12paper,yolov13paper}.",07-discussion.tex
yolov13,Benchmark Setup,Models evaluated,YOLOv13 \citep{yolov13} was not evaluated.,05-benchmark-setup.tex
yolov13,Discussion,Why published results on this dataset disagree,"One architecture in the later comparison table is not provided by that package at all, but by a separate repository describing itself as based on it \citep{yolov13,yolov13repo}, so that row was produced on a different codebase from the rows beside it.",07-discussion.tex
yolov13paper,Introduction,(section opening),"Three published studies report detection results on it: the dataset paper's own technical validation and two subsequent benchmark studies \citep{yolov12paper,yolov13paper}.",01-introduction.tex
yolov13paper,Related Work,ElectroCom61 and the results reported on it,"The dataset paper's own technical validation reports a headline figure of 95.9% \citep{electrocom61}; the two benchmark studies each compare several detectors and report mAP@50 \citep{yolov12paper,yolov13paper}.",02-related-work.tex
yolov13paper,Related Work,Electronic component detection and e-waste sorting,"Both benchmark studies on this dataset are themselves e-waste detection systems, and both build on that family \citep{yolov12paper,yolov13paper}.",02-related-work.tex
yolov13paper,Benchmark Setup,Efficiency measurement,"Of the published studies reporting results on this dataset, the two that report parameter counts \citep{yolov12paper,yolov13paper} do not state whether those counts are fused or unfused, and the dataset paper \citep{electrocom61} reports none at all: its results table carries only mAP@50, precision, recall, F1 and total loss.",05-benchmark-setup.tex
yolov13paper,Benchmark Setup,Models evaluated,"The first three appear in the comparison tables of both prior studies of ElectroCom61 \citep{yolov12paper,yolov13paper}, and are included so that the present benchmark can be placed alongside theirs.",05-benchmark-setup.tex
yolov13paper,Benchmark Setup,Training configuration,"Both prior studies of this dataset state these values \citep{yolov12paper,yolov13paper}.",05-benchmark-setup.tex
yolov13paper,Discussion,Why published results on this dataset disagree,"Neither benchmark study states which version it used \citep{yolov12paper,yolov13paper}.",07-discussion.tex
yolov13paper,Discussion,Why published results on this dataset disagree,The later study reproduces the same table without the variance columns \citep{yolov13paper}.,07-discussion.tex
yolov13paper,Discussion,Why published results on this dataset disagree,"The two papers report the same seven rows with identical values, the second adding one row for its own architecture, and they share three authors — three of the four listed on the earlier paper are among the six on the later one \citep{yolov12paper,yolov13paper}.",07-discussion.tex
yolov13repo,Benchmark Setup,Models evaluated,"It is not provided by the Ultralytics release used here but by a separate repository whose own documentation describes it as based on that package \citep{yolov13repo}, and installing that distribution would change the framework version under which every other model was trained.",05-benchmark-setup.tex
yolov13repo,Discussion,Why published results on this dataset disagree,"One architecture in the later comparison table is not provided by that package at all, but by a separate repository describing itself as based on it \citep{yolov13,yolov13repo}, so that row was produced on a different codebase from the rows beside it.",07-discussion.tex
yolov9,Benchmark Setup,Models evaluated,"Five detectors were evaluated: YOLOv9s \citep{yolov9}, YOLO11s \citep{yolo11}, YOLOv12s \citep{yolov12}, YOLO26s \citep{yolo26} and RT-DETR-l \citep{rtdetr}.",05-benchmark-setup.tex
